product	product_lc
Putative glucose uptake permease	putative glucose uptake permease
transporter, putative fucose permease	transporter, putative fucose permease
23S rRNA (Uracil-5-) -methyltransferase RumA (EC 2.1.1.-)	23s rrna (uracil-5-) -methyltransferase ruma (ec 2.1.1.-)
putative peptide ABC transporter permease protein	putative peptide abc transporter permease protein
FIG00455869: hypothetical protein	fig00455869: hypothetical protein
response regulator containing a CheY-like receiver domain and a HTH DNA-binding domain	response regulator containing a chey-like receiver domain and a hth dna-binding domain
probable cation efflux protein	probable cation efflux protein
FIG01281357: hypothetical protein	fig01281357: hypothetical protein
FIG01281319: hypothetical protein	fig01281319: hypothetical protein
Glutamine transport system permease protein GlnP (TC 3.A.1.3.2)	glutamine transport system permease protein glnp (tc 3.a.1.3.2)
Arginine/ornithine antiporter ArcD	arginine/ornithine antiporter arcd
Phage shock protein A	phage shock protein a
protein tyrosine/serine phosphatase	protein tyrosine/serine phosphatase
FIG01028573: hypothetical protein	fig01028573: hypothetical protein
FIG01029243: hypothetical protein	fig01029243: hypothetical protein
CRISPR-associated RecB family exonuclease Cas4b / CRISPR-associated protein Cas1	crispr-associated recb family exonuclease cas4b / crispr-associated protein cas1
Valine--pyruvate aminotransferase (EC 2.6.1.66)	valine--pyruvate aminotransferase (ec 2.6.1.66)
Alpha-L-Rha alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)	alpha-l-rha alpha-1,3-l-rhamnosyltransferase (ec 2.4.1.-)
O antigen biosynthesis rhamnosyltransferase rfbN (EC 2.4.1.-)	o antigen biosynthesis rhamnosyltransferase rfbn (ec 2.4.1.-)
CpsF	cpsf
Eps11O	eps11o
Glucosylceramidase( EC:3.2.1.45 )	glucosylceramidase( ec:3.2.1.45 )
FIG000875: Thioredoxin domain-containing protein EC-YbbN	fig000875: thioredoxin domain-containing protein ec-ybbn
FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)	fkbp-type peptidyl-prolyl cis-trans isomerase fkpa precursor (ec 5.2.1.8)
Formyl-coenzyme A transferase (EC 2.8.3.16)	formyl-coenzyme a transferase (ec 2.8.3.16)
putative receptor protein	putative receptor protein
Oxalyl-CoA decarboxylase (EC 4.1.1.8)	oxalyl-coa decarboxylase (ec 4.1.1.8)
Voltage-gated chloride channel family protein	voltage-gated chloride channel family protein
putative glycosyltransferase( EC:2.4.1.- )	putative glycosyltransferase( ec:2.4.1.- )
Internalin-like protein (LPXTG motif) Lmo0331 homolog	internalin-like protein (lpxtg motif) lmo0331 homolog
FIG01281385: hypothetical protein	fig01281385: hypothetical protein
FIG01281335: hypothetical protein	fig01281335: hypothetical protein
Multi-drug-type permease	multi-drug-type permease
Xyloside transporter XynT	xyloside transporter xynt
FIG00426811: hypothetical protein	fig00426811: hypothetical protein
FIG00425716: hypothetical protein	fig00425716: hypothetical protein
FIG00426344: hypothetical protein	fig00426344: hypothetical protein
FIG00426061: hypothetical protein	fig00426061: hypothetical protein
ATP-dependent nuclease, subunit A	atp-dependent nuclease, subunit a
ATP-dependent nuclease, subunit B	atp-dependent nuclease, subunit b
FIG00425533: hypothetical protein	fig00425533: hypothetical protein
FIG00424261: hypothetical protein	fig00424261: hypothetical protein
FIG00424617: hypothetical protein	fig00424617: hypothetical protein
replication protein	replication protein
MembA	memba
MobA	moba
Chromosome (plasmid) partitioning protein ParA	chromosome (plasmid) partitioning protein para
membrane protein, related to Actinobacillus protein (1944168)	membrane protein, related to actinobacillus protein (1944168)
FIG00425827: hypothetical protein	fig00425827: hypothetical protein
Putative NAGC-like transcriptional regulator	putative nagc-like transcriptional regulator
RNA polymerase sigma factor RpoE	rna polymerase sigma factor rpoe
FIG01125270: hypothetical protein	fig01125270: hypothetical protein
possible MerR-type transcriptional regulator	possible merr-type transcriptional regulator
FIG00425848: hypothetical protein	fig00425848: hypothetical protein
FIG00427145: hypothetical protein	fig00427145: hypothetical protein
FIG00426070: hypothetical protein	fig00426070: hypothetical protein
FIG00425385: hypothetical protein	fig00425385: hypothetical protein
Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)	retron-type rna-directed dna polymerase (ec 2.7.7.49)
COG0008: Glutamyl- and glutaminyl-tRNA synthetases	cog0008: glutamyl- and glutaminyl-trna synthetases
COG0508: Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes	cog0508: pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (e2) component, and related enzymes
Serine/threonine-protein kinase PknB (EC 2.7.11.1)	serine/threonine-protein kinase pknb (ec 2.7.11.1)
transposase, mutator type	transposase, mutator type
FIG00423959: hypothetical protein	fig00423959: hypothetical protein
evolved beta-D-galactosidase, beta subunit; cryptic gene	evolved beta-d-galactosidase, beta subunit; cryptic gene
FIG00765124: hypothetical protein	fig00765124: hypothetical protein
FIG01223159: hypothetical protein	fig01223159: hypothetical protein
FIG00427104: hypothetical protein	fig00427104: hypothetical protein
FIG00426491: hypothetical protein	fig00426491: hypothetical protein
FIG00426813: hypothetical protein	fig00426813: hypothetical protein
COG3436: Transposase and inactivated derivatives	cog3436: transposase and inactivated derivatives
Metalloprotease	metalloprotease
FIG00426913: hypothetical protein	fig00426913: hypothetical protein
FIG00426488: hypothetical protein	fig00426488: hypothetical protein
FIG00424387: hypothetical protein	fig00424387: hypothetical protein
COG1694: Predicted pyrophosphatase	cog1694: predicted pyrophosphatase
COG3410: Uncharacterized conserved protein	cog3410: uncharacterized conserved protein
Conserved domain protein	conserved domain protein
putative prophage antirepressor	putative prophage antirepressor
Fe-S-cluster-containing hydrogenase components 1	fe-s-cluster-containing hydrogenase components 1
FIG01128974: hypothetical protein	fig01128974: hypothetical protein
bacteriophage lysin	bacteriophage lysin
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.-)	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (ec 4.1.2.-)
Transcriptional regulator, XRE family	transcriptional regulator, xre family
Gluconate utilization system Gnt-I transcriptional repressor	gluconate utilization system gnt-i transcriptional repressor
FIG01077147: hypothetical protein	fig01077147: hypothetical protein
FIG00425874: hypothetical protein	fig00425874: hypothetical protein
FIG00638261: hypothetical protein	fig00638261: hypothetical protein
FIG00426817: hypothetical protein	fig00426817: hypothetical protein
FIG00426941: hypothetical protein	fig00426941: hypothetical protein
Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)	peptide methionine sulfoxide reductase msra (ec 1.8.4.11)
Putative glycosyltransferase protein	putative glycosyltransferase protein
FIG00632944: hypothetical protein	fig00632944: hypothetical protein
Oligosaccharide repeat unit polymerase Wzy	oligosaccharide repeat unit polymerase wzy
O-antigen flippase Wzx	o-antigen flippase wzx
Coenzyme F420-dependent oxidoreductase	coenzyme f420-dependent oxidoreductase
Phage-related integrase	phage-related integrase
Ribose 5-phosphate isomerase B (EC 5.3.1.6)	ribose 5-phosphate isomerase b (ec 5.3.1.6)
FIG00711245: hypothetical protein	fig00711245: hypothetical protein
FIG00636950: hypothetical protein	fig00636950: hypothetical protein
FIG00424947: hypothetical protein	fig00424947: hypothetical protein
Putative DNA methyltransferase	putative dna methyltransferase
FIG00426258: hypothetical protein	fig00426258: hypothetical protein
Bifidobacterial FemAB-like protein type 4	bifidobacterial femab-like protein type 4
FIG00427381: hypothetical protein	fig00427381: hypothetical protein
FIG00427086: hypothetical protein	fig00427086: hypothetical protein
FIG00425478: hypothetical protein	fig00425478: hypothetical protein
LemA family protein	lema family protein
putative virulence protein	putative virulence protein
FIG00425831: hypothetical protein	fig00425831: hypothetical protein
FIG00427012: hypothetical protein	fig00427012: hypothetical protein
FIG00426365: hypothetical protein	fig00426365: hypothetical protein
FIG00426540: hypothetical protein	fig00426540: hypothetical protein
FIG00426132: hypothetical protein	fig00426132: hypothetical protein
FIG00427518: hypothetical protein	fig00427518: hypothetical protein
FIG00426643: hypothetical protein	fig00426643: hypothetical protein
FIG00427460: hypothetical protein	fig00427460: hypothetical protein
FIG00425675: hypothetical protein	fig00425675: hypothetical protein
FIG00426753: hypothetical protein	fig00426753: hypothetical protein
FIG00427302: hypothetical protein	fig00427302: hypothetical protein
FIG00423977: hypothetical protein	fig00423977: hypothetical protein
FIG00425971: hypothetical protein	fig00425971: hypothetical protein
FIG00427445: hypothetical protein	fig00427445: hypothetical protein
FIG00426400: hypothetical protein	fig00426400: hypothetical protein
FIG00427671: hypothetical protein	fig00427671: hypothetical protein
FIG00427046: hypothetical protein	fig00427046: hypothetical protein
N-formylglutamate deformylase (EC 3.5.1.68)	n-formylglutamate deformylase (ec 3.5.1.68)
adenine-specific methyltransferase EcoRI	adenine-specific methyltransferase ecori
methyltransferase (ssoIM)	methyltransferase (ssoim)
Replicative DNA helicase (EC 3.6.1.-) @ intein-containing	replicative dna helicase (ec 3.6.1.-) @ intein-containing
FIG00426557: hypothetical protein	fig00426557: hypothetical protein
FIG00426000: hypothetical protein	fig00426000: hypothetical protein
Glutathione-regulated potassium-efflux system ancillary protein KefG	glutathione-regulated potassium-efflux system ancillary protein kefg
Rhamnosyltransferase	rhamnosyltransferase
Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73)	alpha-ribazole-5'-phosphate phosphatase (ec 3.1.3.73)
TiTiN family member (ttn-1)	titin family member (ttn-1)
nitroreductase family protein	nitroreductase family protein
FIG00672367: hypothetical protein	fig00672367: hypothetical protein
FIG00672018: hypothetical protein	fig00672018: hypothetical protein
SSU ribosomal protein S14p (S29e) // Zinc- dependent	ssu ribosomal protein s14p (s29e) // zinc- dependent
Chromatin structure and dynamics	chromatin structure and dynamics
ABC transporter ATP binding protein	abc transporter atp binding protein
FIG00672441: hypothetical protein	fig00672441: hypothetical protein
FIG00672208: hypothetical protein	fig00672208: hypothetical protein
FIG00672129: hypothetical protein	fig00672129: hypothetical protein
serine_threonine protein kinase	serine_threonine protein kinase
peptidase M48, Ste24p	peptidase m48, ste24p
putative LicD-family phosphotransferase	putative licd-family phosphotransferase
FIG00672010: hypothetical protein	fig00672010: hypothetical protein
hypothetical protein, putative adhesion or S- layer protein	hypothetical protein, putative adhesion or s- layer protein
Fibril-like structure subunit FibA, putative	fibril-like structure subunit fiba, putative
FIG00672379: hypothetical protein	fig00672379: hypothetical protein
ATP-dependent DNA helicase pcrA (EC 3.6.1.-)	atp-dependent dna helicase pcra (ec 3.6.1.-)
FIG00669569: hypothetical protein	fig00669569: hypothetical protein
Plasmid stabilization system toxin protein	plasmid stabilization system toxin protein
"GTP pyrophosphokinase "	"gtp pyrophosphokinase "
putative secreted sugar-binding protein	putative secreted sugar-binding protein
FIG00672270: hypothetical protein	fig00672270: hypothetical protein
FIG01279189: hypothetical protein	fig01279189: hypothetical protein
probable sugar permease of ABC transporter system	probable sugar permease of abc transporter system
FIG00672450: hypothetical protein	fig00672450: hypothetical protein
protein of unknown function DUF955	protein of unknown function duf955
FIG00672012: hypothetical protein	fig00672012: hypothetical protein
Lj965 prophage protein	lj965 prophage protein
FIG00672015: hypothetical protein	fig00672015: hypothetical protein
PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	probable conserved integral membrane protein
FIG00672529: hypothetical protein	fig00672529: hypothetical protein
Plasmid maintenance system antidote protein	plasmid maintenance system antidote protein
addiction module antidote protein HigA	addiction module antidote protein higa
abortive infection bacteriophage resistance protein	abortive infection bacteriophage resistance protein
FIG00672102: hypothetical protein	fig00672102: hypothetical protein
FIG00672347: hypothetical protein	fig00672347: hypothetical protein
FIG00672088: hypothetical protein	fig00672088: hypothetical protein
sugar transport system permease protein	sugar transport system permease protein
inner membrane component of binding-protein- dependent transport system	inner membrane component of binding-protein- dependent transport system
3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)	3',5'-cyclic-nucleotide phosphodiesterase (ec 3.1.4.17)
FIG00423872: hypothetical protein	fig00423872: hypothetical protein
IRON(III)-TRANSPORT SYSTEM PERMEASE PROTEIN SFUB	iron(iii)-transport system permease protein sfub
FIG00423988: hypothetical protein	fig00423988: hypothetical protein
FIG00424430: hypothetical protein	fig00424430: hypothetical protein
COG0459: Chaperonin GroEL (HSP60 family)	cog0459: chaperonin groel (hsp60 family)
"GMP synthase [glutamine-hydrolyzing] "	"gmp synthase [glutamine-hydrolyzing] "
"PTS system, fructose-specific IIA component / PTS system, fructose-specific IIB component / PTS system, fructose-specific IIC component "	"pts system, fructose-specific iia component / pts system, fructose-specific iib component / pts system, fructose-specific iic component "
lipase, putative	lipase, putative
FIG00424740: hypothetical protein	fig00424740: hypothetical protein
FIG00426525: hypothetical protein	fig00426525: hypothetical protein
narrowly conserved hypothetical protein in M23/M37 peptidase family	narrowly conserved hypothetical protein in m23/m37 peptidase family
FIG00425454: hypothetical protein	fig00425454: hypothetical protein
excisionase domain protein	excisionase domain protein
FIG00424636: hypothetical protein	fig00424636: hypothetical protein
COG1670: Acetyltransferases, including N- acetylases of ribosomal proteins	cog1670: acetyltransferases, including n- acetylases of ribosomal proteins
FIG00427129: hypothetical protein	fig00427129: hypothetical protein
DNA-binding response regulator	dna-binding response regulator
FIG00426206: hypothetical protein	fig00426206: hypothetical protein
